Order_ID,Order_Date,Customer_ID,Customer_Name,City,Product_Category,Product_Name,Sales_Channel,Quantity,Unit_Price,Discount_%,Total_Sales,Customer_Rating
ORD10000,13 Jan 2025,CUST4582,Priya,Bangalore,Bakery,Milk,Store,9,61.73,15,472.23,1.0
ORD10000,29 Nov 2025,CUST5552,Sneha,Hyderabad City,Beverages,Ice Cream,Web,1,384.23,5,365.02,3.0
ORD10002,14-07-2025,CUST6925,Rahul,Bangalore,Frozen Foods,Ice Cream,Online,8,277.39,15,1886.25,3.0
ORD10003,2025/04/27,CUST4432,Sita,Bengaluru,Frozen Foods,Soft Drink,Online,8,325.13,10,2340.94,3.0
ORD10004,29 Mar 2025,CUST4752,Anil,Hyderabad,Beverage,Juice,Mobile App,9,125.42,10,1015.9,1.0
ORD10005,19 Apr 2025,CUST9830,Rahul,Bengaluru,Frozen Foods,Cake,Store,8,88.58,5,673.21,5.0
ORD10006,2025/10/26,CUST7916,Rahul,HYD,Dairy,Milk,Mobile App,2,382.78,0,765.56,2.0
ORD10007,28 Aug 2025,CUST6573,Priya,HYD,Beverage,Chips,Mobile App,2,347.22,20,555.55,
ORD10008,02 Jan 2025,CUST4258,Priya,Hyderabad City,Beverage,Milk,Offline,2,437.85,10,788.13,5.0
ORD10009,29-09-2025,CUST2403,Rahul,Pune,Snacks,Soft Drink,Store,5,134.94,5,640.97,1.0
ORD10010,07 Mar 2025,CUST4295,Vijay,Bengaluru,Dairy,Milk,Web,10,223.11,5,2119.55,
ORD10011,2025/09/22,CUST1964,Sita,Bangalore,Snacks,Soft Drink,Online,10,285.88,20,2287.04,1.0
ORD10012,06 Feb 2025,CUST8749,Anil,Mumbai,Beverages,Cake,Online,3,367.21,20,881.3,2.0
ORD10013,2025/08/09,CUST5073,Sneha,Bangalore,Beverages,Chips,Store,2,49.09,25,73.64,1.0
ORD10014,05-08-2025,CUST2528,Priya,Bangalore,Beverages,Soft Drink,Mobile App,9,67.0,25,452.25,1.0
ORD10015,2025/04/20,CUST8973,Ravi,Hyderabad City,Beverages,Chips,Web,5,464.73,15,1975.1,
ORD10016,30 Jan 2025,CUST2312,Ravi,Hyderabad City,Snacks,Chips,Store,8,261.37,20,1672.77,5.0
ORD10017,2025/05/01,CUST9565,Sita,Chennai,Beverage,Bread,Offline,1,317.3,15,269.7,5.0
ORD10018,10-06-2025,CUST2200,Priya,Bangalore,Bakery,Ice Cream,Web,2,24.47,20,39.15,1.0
ORD10019,28-06-2025,CUST9666,Anil,Hyderabad,Frozen Foods,Milk,Store,9,357.7,20,2575.44,
ORD10020,06-12-2025,CUST4335,Kiran,Bengaluru,Bakery,Soft Drink,Mobile App,3,150.73,20,361.75,3.0
ORD10021,27-01-2025,CUST8007,Sneha,Hyderabad,Snacks, Chips ,Online,3,325.81,10,879.69,4.0
ORD10022,20-12-2025,CUST5088,Ravi,HYD,Beverage,Milk,Store,1,167.96,0,167.96,2.0
ORD10023,28 Jul 2025,CUST7745,Kiran,Bangalore,Beverage,Bread,Offline,3,443.08,0,1329.24,3.0
ORD10024,2025/02/25,CUST4164,Ravi,Mumbai,Beverage,Bread,Web,8,187.84,5,1427.58,
ORD10025,2025/05/23,CUST1626,Sneha,HYD,Bakery,Cookies,Mobile App,2,440.98,10,793.76,3.0
ORD10026,2025/06/10,CUST4228,Sita,Chennai,Dairy,Bread,Online,7,20.81,20,116.54,
ORD10027,19 Jun 2025,CUST5844,Rahul,Hyderabad City,Beverages,Soft Drink,Mobile App,5,263.42,25,987.83,4.0
ORD10028,14 Jul 2025,CUST6279,Kiran,Pune,Dairy,Ice Cream,Mobile App,1,165.86,5,157.57,5.0
ORD10029,2025/09/19,CUST4262,Kiran,Hyderabad City,Snacks,Ice Cream,Online,10,180.89,5,1718.45,2.0
ORD10030,01 Sep 2025,CUST1090,Sita,HYD,Dairy,Bread,Offline,7,257.3,5,1711.05,
ORD10031,23 Dec 2025,CUST6198,Vijay,Pune,Bakery,Bread,Store,2,239.1,15,406.47,5.0
ORD10032,2025/10/08,CUST8939,Kiran,Bangalore,Beverage,Cake,Mobile App,4,423.13,10,1523.27,5.0
ORD10033,27-05-2025,CUST7797,Priya,Mumbai,Beverage,Soft Drink,Store,4,203.86,5,774.67,1.0
ORD10034,01-02-2025,CUST7389,Sneha,Mumbai,Bakery,Chips,Store,10,202.58,0,2025.8,3.0
ORD10035,2025/04/23,CUST3091,Anil,Hyderabad,Dairy, Cake ,Store,6,341.06,15,1739.41,4.0
ORD10036,14-01-2025,CUST7211,Sneha,Bengaluru,Dairy,Cake,Web,5,201.97,5,959.36,3.0
ORD10037,29-08-2025,CUST5051,Ravi,Bangalore,Snacks,Cookies,Store,2,394.99,25,592.49,1.0
ORD10038,2025/03/06,CUST2876,Sita,Hyderabad City,Beverage,Bread,Online,5,388.11,5,1843.52,
ORD10039,09 Jun 2025,CUST2983,Sneha,Hyderabad,Beverage,Bread,Store,4,68.91,10,248.08,5.0
ORD10040,09-07-2025,CUST3506,,Mumbai,Beverages,Juice,Store,2,228.09,10,410.56,4.0
ORD10041,19 May 2025,CUST4995,Vijay,Pune,Bakery,Ice Cream,Store,4,418.75,0,1675.0,4.0
ORD10042,22-06-2025,CUST5526,Vijay,Hyderabad,Bakery,Milk,Offline,6,402.96,10,2175.98,5.0
ORD10043,2025/07/28,CUST6016,Anil,Chennai,Dairy,Cake,Store,1,64.67,5,61.44,2.0
ORD10044,06 Aug 2025,CUST9779,Rahul,Hyderabad City,Beverages,Cake,Offline,5,130.66,25,489.97,1.0
ORD10045,22 May 2025,CUST5494,Priya,Hyderabad,Snacks,Bread,Store,6,106.13,0,636.78,2.0
ORD10046,06 Mar 2025,CUST5136,Vijay,Pune,Snacks,Chips,Online,8,249.78,10,1798.42,1.0
ORD10047,07 Feb 2025,CUST4697,Ravi,Mumbai,Dairy,Ice Cream,Mobile App,4,76.86,15,261.32,5.0
ORD10048,2025/10/29,CUST2330,Priya,Hyderabad City,Beverages,Chips,Offline,2,474.84,5,902.2,3.0
ORD10049,22-03-2025,CUST2166,Sneha,Bangalore,Beverage,Cake,Store,4,158.29,10,569.84,4.0
ORD10050,2025/04/12,CUST5728,Sita,Pune,Snacks,Milk,Mobile App,3,54.28,5,154.7,5.0
ORD10051,2025/12/25,CUST5102,Priya,Hyderabad,Snacks,Cake,Offline,10,39.13,15,332.61,5.0
ORD10052,22 Oct 2025,CUST3973,Ravi,Mumbai,Frozen Foods,Ice Cream,Mobile App,3,245.84,25,553.14,3.0
ORD10053,2025/08/29,CUST1601,Sneha,Pune,Snacks,Soft Drink,Web,6,217.59,15,1109.71,4.0
ORD10054,2025/03/01,CUST8242,Ravi,Hyderabad,Beverages,Cake,Web,4,268.85,20,860.32,
ORD10055,2025/05/28,CUST2858,Vijay,Pune,Snacks,Bread,Offline,5,284.4,20,1137.6,2.0
ORD10056,30 May 2025,CUST9327,Priya,Hyderabad City,Snacks,Cake,Web,4,239.26,5,909.19,5.0
ORD10057,2025/08/01,CUST8316,Priya,Pune,Beverage,Ice Cream,Web,10,298.36,25,2237.7,2.0
ORD10058,2025/10/06,CUST1715,Vijay,Chennai,Frozen Foods,Bread,Mobile App,4,294.46,5,1118.95,4.0
ORD10059,2025/07/15,CUST2633,Kiran,Pune,Snacks,Chips,Offline,10,179.36,0,1793.6,4.0
ORD10060,02-12-2025,CUST7226,Sita,Chennai,Frozen Foods,Ice Cream,Mobile App,7,331.92,10,2091.1,5.0
ORD10061,19 Jan 2025,CUST2646,Sita,Pune,Beverages,Ice Cream,Web,2,228.31,0,456.62,
ORD10062,2025/01/24,CUST3785,Ravi,Hyderabad City,Snacks,Cookies,Store,4,274.96,20,879.87,2.0
ORD10063,14 Nov 2025,CUST5712,Anil,Hyderabad City,Snacks,Milk,Mobile App,5,240.59,25,-902.21,4.0
